,sr,bat_avg,econ,bowl_avg
Chennai Super Kings,159.78456014362655,32.96296296296296,9.61888111888112,43.666666666666664
Delhi Capitals,150.7177033492823,26.25,9.351791530944626,39.875
Gujarat Titans,141.84873949579833,24.114285714285714,9.715302491103202,37.916666666666664
Kolkata Knight Riders,157.6241134751773,26.939393939393938,9.131931166347991,39.8
Lucknow Super Giants,148.79614767255217,21.068181818181817,10.497131931166347,41.59090909090909
Mumbai Indians,139.6747967479675,30.678571428571427,9.639175257731958,30.161290322580644
Punjab Kings,137.64135702746364,29.379310344827587,8.692436974789915,26.12121212121212
Rajasthan Royals,165.13911620294598,37.370370370370374,9.358064516129033,37.19230769230769
Royal Challengers Bengaluru,150.24469820554648,30.7,8.701923076923077,22.625
Sunrisers Hyderabad,150.72727272727272,23.685714285714287,9.901701323251418,39.68181818181818
